path,algo,epoch,score
TaxAI_modified/agents/model_pools/short_term/models/independent_ppo-1718101916-4/run/gov_net.pt,independent_ppo,4,-0.3584188343310027
TaxAI_modified/agents/model_pools/short_term/models/independent_ppo-1718101916-5/run/gov_net.pt,independent_ppo,5,0.12114255896556513
TaxAI_modified/agents/model_pools/short_term/models/independent_ppo-1718101916-6/run/gov_net.pt,independent_ppo,6,-0.13461957295064
TaxAI_modified/agents/model_pools/short_term/models/independent_ppo-1718102126-0/run/gov_net.pt,independent_ppo,0,-0.4594955765475661
TaxAI_modified/agents/model_pools/short_term/models/independent_ppo-1718102222-0/run/gov_net.pt,independent_ppo,0,-0.4594955765475661
TaxAI_modified/agents/model_pools/short_term/models/independent_ppo-1718264055-0/run/gov_net.pt,independent_ppo,0,-0.4594955765475661
TaxAI_modified/agents/model_pools/short_term/models/independent_ppo-1718264825-0/run/gov_net.pt,independent_ppo,0,-0.4594955765475661
TaxAI_modified/agents/model_pools/short_term/models/independent_ppo-1718698221-0/run/gov_net.pt,independent_ppo,0,-0.4594955765475661
TaxAI_modified/agents/model_pools/short_term/models/independent_ppo-1718698221-1/run/gov_net.pt,independent_ppo,1,0.06205689505894546
TaxAI_modified/agents/model_pools/short_term/models/independent_ppo-1718787482-0/run/gov_net.pt,independent_ppo,0,-0.4594955765475661
