path,algo,epoch,score
TaxAI_modified/agents/model_pools/short_term/models/independent_ppo-1716975791-19/run/house_net.pt,independent_ppo,19,-356.43180109964084
TaxAI_modified/agents/model_pools/short_term/models/independent_ppo-1716975791-20/run/house_net.pt,independent_ppo,20,-406.75175500285934
TaxAI_modified/agents/model_pools/short_term/models/independent_ppo-1717060147-0/run/house_net.pt,independent_ppo,0,-237.21137639152093
TaxAI_modified/agents/model_pools/short_term/models/independent_ppo-1717060147-1/run/house_net.pt,independent_ppo,1,-284.57149043821283
TaxAI_modified/agents/model_pools/short_term/models/independent_ppo-1717060147-2/run/house_net.pt,independent_ppo,2,-248.0641289122519
TaxAI_modified/agents/model_pools/short_term/models/independent_ppo-1717060147-3/run/house_net.pt,independent_ppo,3,-182.15850582086216
TaxAI_modified/agents/model_pools/short_term/models/independent_ppo-1717060147-4/run/house_net.pt,independent_ppo,4,-550.8987489203904
TaxAI_modified/agents/model_pools/short_term/models/independent_ppo-1717060147-5/run/house_net.pt,independent_ppo,5,-402.5697935517772
TaxAI_modified/agents/model_pools/short_term/models/independent_ppo-1717060147-6/run/house_net.pt,independent_ppo,6,-174.816848041575
TaxAI_modified/agents/model_pools/short_term/models/independent_ppo-1717060147-7/run/house_net.pt,independent_ppo,7,-256.53262495466936
