path,algo,epoch,score
TaxAI_modified/agents/model_pools/long_term/models/acUnknown-20/run/gov_net.pt,ac,20,61
TaxAI_modified/agents/model_pools/long_term/models/acUnknown-21/run/gov_net.pt,ac,21,30
TaxAI_modified/agents/model_pools/long_term/models/acUnknown-22/run/gov_net.pt,ac,22,41
TaxAI_modified/agents/model_pools/long_term/models/acUnknown-23/run/gov_net.pt,ac,23,95
TaxAI_modified/agents/model_pools/long_term/models/acUnknown-24/run/gov_net.pt,ac,24,27
TaxAI_modified/agents/model_pools/long_term/models/acUnknown-25/run/gov_net.pt,ac,25,43
TaxAI_modified/agents/model_pools/long_term/models/acUnknown-26/run/gov_net.pt,ac,26,34
TaxAI_modified/agents/model_pools/long_term/models/acUnknown-27/run/gov_net.pt,ac,27,44
TaxAI_modified/agents/model_pools/long_term/models/acUnknown-28/run/gov_net.pt,ac,28,29
TaxAI_modified/agents/model_pools/long_term/models/acUnknown-29/run/gov_net.pt,ac,29,13
TaxAI_modified/agents/model_pools/long_term/models/acUnknown-30/run/gov_net.pt,ac,30,100
TaxAI_modified/agents/model_pools/long_term/models/acUnknown-31/run/gov_net.pt,ac,31,2
TaxAI_modified/agents/model_pools/long_term/models/acUnknown-32/run/gov_net.pt,ac,32,22
TaxAI_modified/agents/model_pools/long_term/models/acUnknown-33/run/gov_net.pt,ac,33,32
TaxAI_modified/agents/model_pools/long_term/models/acUnknown-34/run/gov_net.pt,ac,34,56
TaxAI_modified/agents/model_pools/long_term/models/acUnknown-35/run/gov_net.pt,ac,35,7
TaxAI_modified/agents/model_pools/long_term/models/acUnknown-36/run/gov_net.pt,ac,36,78
TaxAI_modified/agents/model_pools/long_term/models/acUnknown-37/run/gov_net.pt,ac,37,67
TaxAI_modified/agents/model_pools/long_term/models/acUnknown-38/run/gov_net.pt,ac,38,58
TaxAI_modified/agents/model_pools/long_term/models/acUnknown-39/run/gov_net.pt,ac,39,97
TaxAI_modified/agents/model_pools/long_term/models/acUnknown-40/run/gov_net.pt,ac,40,73
TaxAI_modified/agents/model_pools/long_term/models/acUnknown-41/run/gov_net.pt,ac,41,37
TaxAI_modified/agents/model_pools/long_term/models/acUnknown-42/run/gov_net.pt,ac,42,39
TaxAI_modified/agents/model_pools/long_term/models/acUnknown-43/run/gov_net.pt,ac,43,11
TaxAI_modified/agents/model_pools/long_term/models/acUnknown-44/run/gov_net.pt,ac,44,29
TaxAI_modified/agents/model_pools/long_term/models/acUnknown-45/run/gov_net.pt,ac,45,48
TaxAI_modified/agents/model_pools/long_term/models/acUnknown-46/run/gov_net.pt,ac,46,50
TaxAI_modified/agents/model_pools/long_term/models/acUnknown-47/run/gov_net.pt,ac,47,34
TaxAI_modified/agents/model_pools/long_term/models/acUnknown-48/run/gov_net.pt,ac,48,16
TaxAI_modified/agents/model_pools/long_term/models/acUnknown-49/run/gov_net.pt,ac,49,27
