path,algo,epoch,score
TaxAI_modified/agents/model_pools/long_term/models/acUnknown-20/run/house_net.pt,ac,20,9
TaxAI_modified/agents/model_pools/long_term/models/acUnknown-21/run/house_net.pt,ac,21,100
TaxAI_modified/agents/model_pools/long_term/models/acUnknown-22/run/house_net.pt,ac,22,4
TaxAI_modified/agents/model_pools/long_term/models/acUnknown-23/run/house_net.pt,ac,23,75
TaxAI_modified/agents/model_pools/long_term/models/acUnknown-24/run/house_net.pt,ac,24,11
TaxAI_modified/agents/model_pools/long_term/models/acUnknown-25/run/house_net.pt,ac,25,98
TaxAI_modified/agents/model_pools/long_term/models/acUnknown-26/run/house_net.pt,ac,26,36
TaxAI_modified/agents/model_pools/long_term/models/acUnknown-27/run/house_net.pt,ac,27,63
TaxAI_modified/agents/model_pools/long_term/models/acUnknown-28/run/house_net.pt,ac,28,7
TaxAI_modified/agents/model_pools/long_term/models/acUnknown-29/run/house_net.pt,ac,29,11
TaxAI_modified/agents/model_pools/long_term/models/acUnknown-30/run/house_net.pt,ac,30,64
TaxAI_modified/agents/model_pools/long_term/models/acUnknown-31/run/house_net.pt,ac,31,10
TaxAI_modified/agents/model_pools/long_term/models/acUnknown-32/run/house_net.pt,ac,32,91
TaxAI_modified/agents/model_pools/long_term/models/acUnknown-33/run/house_net.pt,ac,33,95
TaxAI_modified/agents/model_pools/long_term/models/acUnknown-34/run/house_net.pt,ac,34,60
TaxAI_modified/agents/model_pools/long_term/models/acUnknown-35/run/house_net.pt,ac,35,37
TaxAI_modified/agents/model_pools/long_term/models/acUnknown-36/run/house_net.pt,ac,36,64
TaxAI_modified/agents/model_pools/long_term/models/acUnknown-37/run/house_net.pt,ac,37,33
TaxAI_modified/agents/model_pools/long_term/models/acUnknown-38/run/house_net.pt,ac,38,77
TaxAI_modified/agents/model_pools/long_term/models/acUnknown-39/run/house_net.pt,ac,39,46
TaxAI_modified/agents/model_pools/long_term/models/acUnknown-40/run/house_net.pt,ac,40,54
TaxAI_modified/agents/model_pools/long_term/models/acUnknown-41/run/house_net.pt,ac,41,46
TaxAI_modified/agents/model_pools/long_term/models/acUnknown-42/run/house_net.pt,ac,42,37
TaxAI_modified/agents/model_pools/long_term/models/acUnknown-43/run/house_net.pt,ac,43,68
TaxAI_modified/agents/model_pools/long_term/models/acUnknown-44/run/house_net.pt,ac,44,23
TaxAI_modified/agents/model_pools/long_term/models/acUnknown-45/run/house_net.pt,ac,45,45
TaxAI_modified/agents/model_pools/long_term/models/acUnknown-46/run/house_net.pt,ac,46,62
TaxAI_modified/agents/model_pools/long_term/models/acUnknown-47/run/house_net.pt,ac,47,61
TaxAI_modified/agents/model_pools/long_term/models/acUnknown-48/run/house_net.pt,ac,48,20
TaxAI_modified/agents/model_pools/long_term/models/acUnknown-49/run/house_net.pt,ac,49,31
